"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"Typhoid fever"	"001"	7	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Paratyphoid fever B"	"002.1"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Paratyphoid fever C"	"002.2"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"With food as vehicle of infection"	"003.0"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Without mention of food as vehicle of infection"	"003.9"	63	199533564	0.0
	"1968"	"1968"	"Flexner"	"004.1"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Soone"	"004.3"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Unspecified"	"004.9"	54	199533564	0.0
	"1968"	"1968"	"Staphylococcal"	"005.0"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Botulism"	"005.1"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Food poisoning, unspecified"	"005.9"	5	199533564	0.0 (Unreliable)
	"1968"	"1968"	"With liver abscess"	"006.0"	22	199533564	0.0
	"1968"	"1968"	"Without mention of liver abscess"	"006.9"	29	199533564	0.0
	"1968"	"1968"	"Escherichia coli"	"008.0"	11	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other specified bacteria"	"008.2"	28	199533564	0.0
	"1968"	"1968"	"Bacterial enteritis, unspecified"	"008.3"	24	199533564	0.0
	"1968"	"1968"	"Other organism, not elsewhere classified"	"008.9"	288	199533564	0.1
	"1968"	"1968"	"Dysentery, unspecified"	"009.0"	17	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Diarrhea"	"009.1"	413	199533564	0.2
	"1968"	"1968"	"Gastroenteritis and colitis"	"009.2"	2159	199533564	1.1
	"1968"	"1968"	"Silicotuberculosis"	"010"	230	199533564	0.1
	"1968"	"1968"	"Active, minimal"	"011.0"	5	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Active, moderately advanced"	"011.1"	82	199533564	0.0
	"1968"	"1968"	"Active, far advanced"	"011.2"	1024	199533564	0.5
	"1968"	"1968"	"Active, stage unspecified"	"011.3"	413	199533564	0.2
	"1968"	"1968"	"Miliary, lung NOS"	"011.4"	90	199533564	0.0
	"1968"	"1968"	"Pulmonary tuberculosis NOS"	"011.9"	2891	199533564	1.4
	"1968"	"1968"	"Primary"	"012.0"	5	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Pleurisy specified as tuberculous"	"012.1"	24	199533564	0.0
	"1968"	"1968"	"Pleurisy with effusion without mention of cause"	"012.2"	238	199533564	0.1
	"1968"	"1968"	"Tuberculous laryngitis"	"012.3"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other respiratory tuberculosis"	"012.9"	5	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Tuberculous meningitis"	"013.0"	121	199533564	0.1
	"1968"	"1968"	"Other central nervous system"	"013.9"	8	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Tuberculosis of intestines, peritoneum, and mesenteric glands"	"014"	45	199533564	0.0
	"1968"	"1968"	"Of vertebral column"	"015.0"	38	199533564	0.0
	"1968"	"1968"	"Of other specified bones and joints"	"015.8"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of unspecified bones and joints"	"015.9"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Kidney"	"016.0"	34	199533564	0.0
	"1968"	"1968"	"Other urinary organs"	"016.1"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Genital organs (male and female)"	"016.2"	5	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Genitourinary system, site unspecified"	"016.9"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of skin and subcutaneous cellular tissue"	"017.0"	7	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of peripheral lymphatic glands"	"017.1"	6	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of other organs"	"017.9"	26	199533564	0.0
	"1968"	"1968"	"Acute miliary tuberculosis unspecified"	"018.1"	9	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other forms of disseminated tuberculosis"	"018.9"	197	199533564	0.1
	"1968"	"1968"	"Respiratory tuberculosis"	"019.0"	762	199533564	0.4
	"1968"	"1968"	"Of central nervous system"	"019.1"	5	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of genitourinary system"	"019.2"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of vertabral column"	"019.3"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of other specified organs"	"019.9"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Bubonic"	"020.0"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Tularemia"	"021"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Unspecified"	"023.9"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Melioidosis"	"025"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Listeriosis"	"027.0"	19	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Lepromatous"	"030.0"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other and unspecified"	"030.9"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Pulmonary"	"031.0"	45	199533564	0.0
	"1968"	"1968"	"Other and unspecified"	"031.9"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Diphtheria"	"032"	30	199533564	0.0
	"1968"	"1968"	"Other and unspecified"	"033.9"	36	199533564	0.0
